Summons Number,Plate ID,Registration State,Plate Type,Issue Date,Violation Code,Vehicle Body Type,Vehicle Make,Issuing Agency,Street Code1,Street Code2,Street Code3,Vehicle Expiration Date,Violation Location,Violation Precinct,Issuer Precinct,Issuer Code,Issuer Command,Issuer Squad,Violation Time,Time First Observed,Violation County,Violation In Front Of Or Opposite,House Number,Street Name,Intersecting Street,Date First Observed,Law Section,Sub Division,Violation Legal Code,Days Parking In Effect    ,From Hours In Effect,To Hours In Effect,Vehicle Color,Unregistered Vehicle?,Vehicle Year,Meter Number,Feet From Curb,Violation Post Code,Violation Description,No Standing or Stopping Violation,Hydrant Violation
8162054819,EW866X,NJ,PAS,1/29/2017,68,4DSD,NISSA,T,21130,93250,42730,88888888,84,84,84,359609,T301,S,1043A,,K,O,402,Bridge St,,0,408,a1,,,,,SILVE,,0,,0,5,68-Not Pkg. Comp. w Psted Sign,,
8506053195,25868MB,NY,COM,1/25/2017,51,VAN,FORD,T,16135,0,0,20180531,1,1,1,364011,T105,D,0204P,,NY,I,W,Cortlandt Aly,50ft N/of White St,0,408,e3,,YYYYYYY,,,BL,,2012,,0,42,51-Sidewalk,,
4628491689,353XXL,FL,PAS,12/20/2016,36,UT,JEEP,V,0,0,0,0,,0,0,0,,,1042A,,QN,,,NB FRANCIS LEWIS BLV,D @ 42ND RD,0,1180,B,T,,,,BLK,,2004,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,
8534116519,CES6482,NY,PAS,6/12/2017,9,SUBN,TOYOT,T,69230,56830,0,20181228,81,81,81,348529,T301,Y,0853A,,K,X,,Park Ave,Locust St,0,408,e1,,YYYYYYY,,,RD,,2008,,0,SPCL,09-Blocking the Box,,
8479417420,AT459E,NJ,PAS,4/13/2017,69,DELV,FRUEH,T,34510,10810,10910,88880088,14,14,14,357711,T106,O,1026A,,NY,F,342,W 37th St,,0,408,h1,,YYYYY,0600A,0700P,WHITE,,0,,0,G,69-Failure to Disp Muni Recpt,,
4629806404,GSY2361,NY,PAS,1/23/2017,36,4DSD,BMW,V,0,0,0,0,,0,0,0,,,1047A,,QN,,,WB JAMAICA AVE @ 224,TH ST,0,1180,B,T,,,,GY,,2011,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,
8522218316,EFJ1721,NY,PAS,5/17/2017,37,SUBN,HONDA,T,25390,18820,18830,20180121,19,19,19,365379,T103,H,1152A,1138A,NY,F,1307,Madison Ave,,0,408,h1,,Y,0800A,0700P,GY,,2008,127-3021,0,CC1,37-Expired Muni Meter,,
8482374059,F96FBF,NJ,PAS,4/23/2017,14,4DSD,ME/BE,T,34470,10410,10510,88880088,14,14,14,355145,T106,J,1031A,,NY,F,53,W 35th St,,0,408,c,,YYYYYYY,,,WHITE,,0,,0,34,14-No Standing,,
8523051284,SH3ZBAD,AL,PAS,3/11/2017,38,4DSD,DODGE,T,26670,40404,40404,20170788,44,44,44,356975,T201,X,0809A,,BX,F,,E 167th St,,0,408,h1,,YYYYYYY,,,BLACK,,0,,0,H,38-Failure to Display Muni Rec,,
7813745231,GEL1890,NY,PAS,9/19/2016,16,SUBN,CHRYS,T,20890,20880,10510,20170312,1,1,1,333051,T105,H,1241P,,NY,F,91,Franklin St,,0,408,k2,,YYYYY,0700A,0700P,WHITE,,2015,,0,39,16A-No Std (Com Veh) Non-COM,,
4628303630,BHV3783,NY,PAS,12/12/2016,36,SUBN,FORD,V,0,0,0,0,,0,0,0,,,0952A,,QN,,,WB HILLSIDE AVE @ 23,1ST ST,0,1180,B,T,,,,BL,,2011,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,
8431017041,76130JH,NY,COM,9/16/2016,21,DELV,FRUEH,T,35710,0,0,88888888,24,24,24,362545,T103,L,1206P,,NY,I,S,W 97th St,130ft E/of Amsterdam,0,408,d1,,Y  Y,1130A,0100P,WHITE,,2007,,0,CC1,21-No Parking (street clean),,
8263642668,HEA6308,NY,PAS,2/16/2017,71,SUBN,JEEP,T,13630,52730,39830,20180119,75,75,75,362231,T301,I,0405P,,K,F,62,Autumn Ave,,0,408,j6,,YYYYYYY,,,GY,,2016,,0,K,71A-Insp Sticker Expired (NYS),,
8515215408,HFB1731,NY,PAS,4/14/2017,20,SUBN,CADIL,T,10210,18670,18690,20180331,19,19,19,356258,T103,F,0921A,,NY,O,1503,3rd Ave,,0,408,d,,YYYYYYY,,,BK,,2016,,0,23,20A-No Parking (Non-COM),,
1416527722,AHG9422,NY,PAS,1/5/2017,27,SUBN,TOYOT,P,11620,12550,11130,20170903,45,45,45,0,45,0,0149P,,BX,F,300,BAYCHESTER AV,,0,408,J6,,BBBBBBB,ALL,ALL,RED,0,2001,-,0,,,,
7411972721,EWL8888,NY,PAS,12/1/2016,20,SUBN,NISSA,T,0,0,0,20180122,52,52,52,358860,T801,A,0255A,,BX,I,E,Father Zeiser Pl,10ft N/of Webb Ave,0,408,d,,YYYYYYY,,,BK,,2010,,0,K 21,20A-No Parking (Non-COM),,
8532505170,HAZ7926,NY,PAS,4/15/2017,38,4DSD,INFIN,T,10110,17630,17650,20170831,17,17,17,340043,T800,A2,0936P,,NY,O,585,2nd Ave,,0,408,h1,,Y,0830A,1000P,GY,,2015,,0,A,38-Failure to Display Muni Rec,,
8558750191,GSH2040,NY,PAS,4/20/2017,46,4DSD,ACURA,T,8590,6740,7190,20180803,114,114,114,363993,T401,N,0414P,,Q,O,21-10,35th Ave,,0,408,f1,,YYYYYYY,,,WH,,2009,,0,J-PM,46A-Double Parking (Non-COM),,
8486910511,GXC5916,NY,PAS,2/13/2017,71,4DSD,HONDA,T,8790,0,0,20171016,114,114,114,355544,T401,M,0820A,,Q,I,W,37th Ave,10ft N/of 21st St,0,408,j6,,YYYYYYY,,,GY,,2004,,0,V,71A-Insp Sticker Expired (NYS),,
7536344478,HAL6563,NY,PAS,10/12/2016,38,SUBN,NISSA,T,54830,53970,50530,20170618,90,90,90,362225,T301,N,0958A,,K,F,114,Lee Ave,,0,408,h1,,YYYYY,0800A,0400P,GY,,2005,,0,14 3,38-Failure to Display Muni Rec,,
8190539723,DKT8358,NY,PAS,9/8/2016,21,2DSD,NISSA,T,57490,35780,9640,20171017,114,114,114,363928,T401,C,0936A,,Q,F,40-07,Newtown Rd,,0,408,d1,,Y  Y,0930A,1100A,GY,,2006,,0,29 4,21-No Parking (street clean),,
8446524806,GYG8911,NY,PAS,12/18/2016,24,SUBN,JEEP,T,29490,0,0,20170426,110,110,110,364876,T401,P,1204P,,Q,I,W,Baxter Ave,30ft S/of Layton St,0,408,d5,,YYYYYYY,,,BK,,2015,,0,15 4,24-No Parking (exc auth veh),,
8063538547,26013KA,NY,COM,8/4/2016,38,VAN,FORD,T,15710,35510,35530,20171130,24,24,24,357094,T103,H,0300P,,NY,F,564,Columbus Ave,,0,408,h1,,YYYYY,1000A,0700P,WH,,2010,,0,42 7,38-Failure to Display Muni Rec,,
7081935680,MLU536,SC,PAS,12/14/2016,38,SUBN,FORD,T,78150,25800,25830,20170688,44,44,44,361365,T201,H,1211P,,BX,F,266,Willis Ave,,0,408,h1,,Y,0800A,0700P,BLACK,,0,,0,59 2,38-Failure to Display Muni Rec,,
8410006650,D53AUUN,NJ,PAS,10/21/2016,9,4DSD,LEXUS,T,17730,10210,0,88888888,17,17,17,353435,Manh,F,1005A,,NY,X,,E 37th St,3rd Ave,0,408,e1,,,,,BLACK,,0,,0,99 6,09-Blocking the Box,,
7808333074,GWG6715,NY,PAS,11/9/2016,37,SUBN,DODGE,T,54050,34980,35030,20170303,61,61,61,363545,T302,I,0225P,0217P,K,F,551,Kings Hwy,,0,408,h1,,Y,0800A,0700P,BK,,2015,348-3002,0,03 3,37-Expired Muni Meter,,
8034466670,83546JU,NY,COM,10/4/2016,38,VAN,FORD,T,29020,52120,21820,20180531,52,52,52,361387,T201,D,0929A,,BX,F,59,E Kingsbridge Rd,,0,408,h1,,Y,0900A,0700P,WH,,2006,,0,03 2,38-Failure to Display Muni Rec,,
7059132030,HLC5085,NY,PAS,2/6/2017,31,4DSD,NISSA,T,34490,10610,10810,20181220,17,17,17,353405,T502,J,0208P,,NY,F,242A,W 36th St,,0,408,l3,,YYYYY,0600A,0700P,WH,,2015,,0,1,31-No Stand (Com. Mtr. Zone),,
8518670070,96170MA,NY,COM,6/5/2017,50,VAN,FRUEH,T,0,0,0,88880088,34,34,34,359294,T103,L,0334P,,NY,I,N,W 173rd St,0ft E/of Haven Ave,0,408,e5,,YYYYYYY,,,BROWN,,2012,,0,L,50-Crosswalk,,
